ecg_id,lead,threshold_mv,fraction,flag,longest_lowdiff_s,longest_exact_repeat_s,exact_repeat_fraction,nonqrs_lowdiff_fraction
96,I,0.0005,0.21244248849769953,True,0.1,0.1,0.21244248849769953,0.22577237919197254
96,I,0.001,0.23904780956191238,True,0.102,0.1,0.21244248849769953,0.2537628729865329
96,I,0.002,0.3462692538507702,True,0.102,0.1,0.21244248849769953,0.37311856350673356
96,I,0.005,0.6427285457091418,True,0.162,0.1,0.21244248849769953,0.6923686295220491
96,II,0.0005,0.2996599319863973,True,0.1,0.1,0.2996599319863973,0.3171375759176129
96,II,0.001,0.3132626525305061,True,0.1,0.1,0.2996599319863973,0.33192500660153157
96,II,0.002,0.40568113622724544,True,0.102,0.1,0.2996599319863973,0.4338526538156852
96,II,0.005,0.655131026205241,True,0.202,0.1,0.2996599319863973,0.7076841827303935
96,III,0.0005,0.3386677335467093,True,0.102,0.102,0.3386677335467093,0.3688935833113282
96,III,0.001,0.35087017403480697,True,0.102,0.102,0.3386677335467093,0.38156852389754425
96,III,0.002,0.4468893778755751,True,0.104,0.102,0.3386677335467093,0.48376023237391075
96,III,0.005,0.7101420284056812,True,0.214,0.102,0.3386677335467093,0.7628729865328756
96,aVR,0.0005,0.21784356871374275,True,0.1,0.1,0.21784356871374275,0.23052548191180353
96,aVR,0.001,0.23464692938587717,True,0.1,0.1,0.21784356871374275,0.24742540269342486
96,aVR,0.002,0.35827165433086616,True,0.102,0.1,0.21784356871374275,0.38104040137311856
96,aVR,0.005,0.654130826165233,True,0.162,0.1,0.21784356871374275,0.7045154475838394
96,aVL,0.0005,0.23204640928185638,True,0.102,0.102,0.23204640928185638,0.25059413783997886
96,aVL,0.001,0.248249649929986,True,0.102,0.102,0.23204640928185638,0.2685503036704515
96,aVL,0.002,0.39367873574714946,True,0.104,0.102,0.23204640928185638,0.42381832585159757
96,aVL,0.005,0.70374074814963,True,0.162,0.102,0.23204640928185638,0.7620808027462371
96,aVF,0.0005,0.2480496099219844,True,0.1,0.1,0.2480496099219844,0.2643253234750462
