ecg_id,strict_label,threshold_mv,record_flag,max_fraction,median_fraction,flat_I,flat_II,flat_III,flat_aVR,flat_aVL,flat_aVF,flat_V1,flat_V2,flat_V3,flat_V4,flat_V5,flat_V6
5657,LVH,0.0005,True,0.5209041808361672,0.3596719343868774,0.29325865173034604,0.4174834966993399,0.41328265653130625,0.30586117223444687,0.3060612122424485,0.35827165433086616,0.5209041808361672,0.47929585917183437,0.33646729345869175,0.32866573314662934,0.40648129625925183,0.36107221444288856
5657,LVH,0.001,True,0.5457091418283657,0.3755751150230046,0.3190638127625525,0.4338867773554711,0.4282856571314263,0.3310662132426485,0.33346669333866774,0.375875175035007,0.5457091418283657,0.5019003800760152,0.35827165433086616,0.34546909381876373,0.4224844968993799,0.3752750550110022
5657,LVH,0.002,True,0.6223244648929785,0.49419883976795365,0.4374874974994999,0.530506101220244,0.514502900580116,0.4738947789557912,0.46689337867573516,0.5171034206841368,0.6223244648929785,0.5907181436287258,0.4502900580116023,0.4402880576115223,0.5229045809161832,0.4728945789157832
5657,LVH,0.005,True,0.844368873774755,0.7723544708941789,0.7399479895979196,0.7759551910382076,0.7609521904380876,0.7747549509901981,0.7699539907981596,0.7677535507101421,0.8401680336067213,0.844368873774755,0.7747549509901981,0.7595519103820764,0.7981596319263853,0.7459491898379675
9112,LVH,0.0005,True,0.47209441888377673,0.28145629125825167,0.1894378875775155,0.2758551710342068,0.47209441888377673,0.20964192838567713,0.23124624924984996,0.28705741148229647,0.39647929585917185,0.3330666133226645,0.3114622924584917,0.25645129025805163,0.2484496899379876,0.33906781356271254
9112,LVH,0.001,True,0.4840968193638728,0.29635927185437083,0.20204040808161633,0.28865773154630925,0.4840968193638728,0.22204440888177635,0.24524904980996198,0.30406081216243247,0.41068213642728546,0.3406681336267253,0.3188637727545509,0.2594518903780756,0.2560512102420484,0.34666933386677334
9112,LVH,0.002,True,0.5767153430686137,0.3851770354070814,0.30306061212242447,0.3844768953790758,0.5767153430686137,0.3348669733946789,0.38207641528305664,0.4490898179635927,0.5047009401880376,0.4184836967393479,0.38587717543508704,0.33826765353070615,0.3556711342268454,0.4454890978195639
9112,LVH,0.005,True,0.8111622324464893,0.6380276055211043,0.5809161832366473,0.6521304260852171,0.8111622324464893,0.6173234646929386,0.7043408681736347,0.764752950590118,0.7581516303260653,0.6075215043008602,0.5651130226045209,0.5583116623324665,0.6239247849569914,0.7085417083416683
12887,LVH,0.0005,True,0.47449489897979596,0.37807561512302457,0.2550510102020404,0.3930786157231446,0.45629125825165034,0.2882576515303061,0.29725945189037806,0.3662732546509302,0.47449489897979596,0.4288857771554311,0.3844768953790758,0.3680736147229446,0.3716743348669734,0.41648329665933187
12887,LVH,0.001,True,0.4928985797159432,0.39287857571514306,0.2656531306261252,0.4062812562512502,0.47489497899579913,0.29905981196239245,0.31066213242648527,0.39167833566713345,0.4928985797159432,0.4432886577315463,0.3940788157631526,0.3746749349869974,0.38007601520304063,0.42948589717943586
