stage,cohort,scheme,fold,label,count,minimum,status
stage2,all300,exploratory,1,0,139,1,ok
stage2,all300,exploratory,1,1,132,1,ok
stage2,all300,exploratory,2,0,126,1,ok
stage2,all300,exploratory,2,1,132,1,ok
stage2,all300,exploratory,3,0,131,1,ok
stage2,all300,exploratory,3,1,131,1,ok
stage2,all300,exploratory,4,0,128,1,ok
stage2,all300,exploratory,4,1,137,1,ok
stage2,all300,exploratory,5,0,127,1,ok
stage2,all300,exploratory,5,1,134,1,ok
stage2,all300,exploratory,6,0,134,1,ok
stage2,all300,exploratory,6,1,126,1,ok
stage2,all300,exploratory,7,0,129,1,ok
stage2,all300,exploratory,7,1,131,1,ok
stage2,all300,exploratory,8,0,129,1,ok
stage2,all300,exploratory,8,1,127,1,ok
stage2,all300,strict,1,0,22,20,ok
stage2,all300,strict,1,1,43,20,ok
stage2,all300,strict,2,0,20,20,ok
stage2,all300,strict,2,1,48,20,ok
stage2,all300,strict,3,0,20,20,ok
stage2,all300,strict,3,1,45,20,ok
stage2,all300,strict,4,0,19,20,insufficient
stage2,all300,strict,4,1,48,20,ok
stage2,all300,strict,5,0,20,20,ok
stage2,all300,strict,5,1,48,20,ok
stage2,all300,strict,6,0,22,20,ok
stage2,all300,strict,6,1,47,20,ok
stage2,all300,strict,7,0,18,20,insufficient
stage2,all300,strict,7,1,42,20,ok
stage2,all300,strict,8,0,20,20,ok
stage2,all300,strict,8,1,43,20,ok
